areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
ltla,Haringey,E09000014,2023-04-12,5,90573,1,84366,4,6207
ltla,Haringey,E09000014,2023-04-11,5,90568,2,84365,3,6203
ltla,Haringey,E09000014,2023-04-10,4,90563,3,84363,1,6200
ltla,Haringey,E09000014,2023-04-09,3,90559,1,84360,2,6199
ltla,Haringey,E09000014,2023-04-08,3,90556,1,84359,2,6197
ltla,Haringey,E09000014,2023-04-07,4,90553,2,84358,2,6195
ltla,Haringey,E09000014,2023-04-06,5,90549,4,84356,1,6193
ltla,Haringey,E09000014,2023-04-05,4,90544,3,84352,1,6192
ltla,Haringey,E09000014,2023-04-04,2,90540,1,84349,1,6191
ltla,Haringey,E09000014,2023-04-03,11,90538,7,84348,4,6190
ltla,Haringey,E09000014,2023-04-02,10,90527,7,84341,3,6186
ltla,Haringey,E09000014,2023-04-01,5,90517,5,84334,0,6183
ltla,Haringey,E09000014,2023-03-31,1,90512,0,84329,1,90512
ltla,Haringey,E09000014,2023-03-30,3,90511,3,84329,0,6182
ltla,Haringey,E09000014,2023-03-29,5,90508,4,84326,1,6182
ltla,Haringey,E09000014,2023-03-28,7,90503,6,84322,1,6181
ltla,Haringey,E09000014,2023-03-27,11,90496,9,84316,2,6180
ltla,Haringey,E09000014,2023-03-26,7,90485,5,84307,2,6178
ltla,Haringey,E09000014,2023-03-25,7,90478,6,84302,1,6176
ltla,Haringey,E09000014,2023-03-24,15,90471,13,84296,2,6175
ltla,Haringey,E09000014,2023-03-23,8,90456,7,84283,1,6173
ltla,Haringey,E09000014,2023-03-22,7,90448,6,84276,1,6172
ltla,Haringey,E09000014,2023-03-21,6,90441,3,84270,3,6171
ltla,Haringey,E09000014,2023-03-20,16,90435,9,84267,7,6168
ltla,Haringey,E09000014,2023-03-19,1,90419,1,84258,0,6161
ltla,Haringey,E09000014,2023-03-18,7,90418,3,84257,4,6161
ltla,Haringey,E09000014,2023-03-17,11,90411,7,84254,4,6157
ltla,Haringey,E09000014,2023-03-16,17,90400,12,84247,5,6153
ltla,Haringey,E09000014,2023-03-15,13,90383,5,84235,8,6148
ltla,Haringey,E09000014,2023-03-14,13,90370,4,84230,9,6140
ltla,Haringey,E09000014,2023-03-13,12,90357,8,84226,4,6131
ltla,Haringey,E09000014,2023-03-12,6,90345,5,84218,1,6127
ltla,Haringey,E09000014,2023-03-11,10,90339,8,84213,2,6126
ltla,Haringey,E09000014,2023-03-10,10,90329,9,84205,1,6124
ltla,Haringey,E09000014,2023-03-09,8,90319,5,84196,3,6123
ltla,Haringey,E09000014,2023-03-08,7,90311,3,84191,4,6120
ltla,Haringey,E09000014,2023-03-07,12,90304,11,84188,1,6116
ltla,Haringey,E09000014,2023-03-06,15,90292,8,84177,7,6115
ltla,Haringey,E09000014,2023-03-05,5,90277,2,84169,3,6108
ltla,Haringey,E09000014,2023-03-04,6,90272,4,84167,2,6105
ltla,Haringey,E09000014,2023-03-03,7,90266,3,84163,4,6103
ltla,Haringey,E09000014,2023-03-02,9,90259,7,84160,2,6099
ltla,Haringey,E09000014,2023-03-01,9,90250,6,84153,3,6097
ltla,Haringey,E09000014,2023-02-28,14,90241,7,84147,7,6094
ltla,Haringey,E09000014,2023-02-27,21,90227,10,84140,11,6087
ltla,Haringey,E09000014,2023-02-26,12,90206,7,84130,5,6076
ltla,Haringey,E09000014,2023-02-25,10,90194,6,84123,4,6071
ltla,Haringey,E09000014,2023-02-24,9,90184,7,84117,2,6067
ltla,Haringey,E09000014,2023-02-23,9,90175,7,84110,2,6065
ltla,Haringey,E09000014,2023-02-22,19,90166,12,84103,7,6063
ltla,Haringey,E09000014,2023-02-21,14,90147,10,84091,4,6056
ltla,Haringey,E09000014,2023-02-20,17,90133,11,84081,6,6052
ltla,Haringey,E09000014,2023-02-19,15,90116,6,84070,9,6046
ltla,Haringey,E09000014,2023-02-18,8,90101,5,84064,3,6037
ltla,Haringey,E09000014,2023-02-17,19,90093,11,84059,8,6034
ltla,Haringey,E09000014,2023-02-16,9,90074,4,84048,5,6026
ltla,Haringey,E09000014,2023-02-15,10,90065,7,84044,3,6021
ltla,Haringey,E09000014,2023-02-14,15,90055,12,84037,3,6018
ltla,Haringey,E09000014,2023-02-13,8,90040,4,84025,4,6015
ltla,Haringey,E09000014,2023-02-12,12,90032,7,84021,5,6011
ltla,Haringey,E09000014,2023-02-11,8,90020,7,84014,1,6006
ltla,Haringey,E09000014,2023-02-10,8,90012,5,84007,3,6005
ltla,Haringey,E09000014,2023-02-09,10,90004,5,84002,5,6002
ltla,Haringey,E09000014,2023-02-08,14,89994,8,83997,6,5997
ltla,Haringey,E09000014,2023-02-07,8,89980,4,83989,4,5991
ltla,Haringey,E09000014,2023-02-06,10,89972,8,83985,2,5987
ltla,Haringey,E09000014,2023-02-05,11,89962,7,83977,4,5985
ltla,Haringey,E09000014,2023-02-04,5,89951,2,83970,3,5981
ltla,Haringey,E09000014,2023-02-03,8,89946,4,83968,4,5978
ltla,Haringey,E09000014,2023-02-02,10,89938,8,83964,2,5974
ltla,Haringey,E09000014,2023-02-01,11,89928,9,83956,2,5972
ltla,Haringey,E09000014,2023-01-31,7,89917,3,83947,4,5970
ltla,Haringey,E09000014,2023-01-30,20,89910,11,83944,9,5966
ltla,Haringey,E09000014,2023-01-29,10,89890,7,83933,3,5957
ltla,Haringey,E09000014,2023-01-28,6,89880,5,83926,1,5954
ltla,Haringey,E09000014,2023-01-27,14,89874,12,83921,2,5953
ltla,Haringey,E09000014,2023-01-26,7,89860,2,83909,5,5951
ltla,Haringey,E09000014,2023-01-25,8,89853,5,83907,3,5946
ltla,Haringey,E09000014,2023-01-24,8,89845,5,83902,3,5943
ltla,Haringey,E09000014,2023-01-23,4,89837,3,83897,1,5940
ltla,Haringey,E09000014,2023-01-22,5,89833,2,83894,3,5939
ltla,Haringey,E09000014,2023-01-21,5,89828,1,83892,4,5936
ltla,Haringey,E09000014,2023-01-20,10,89823,8,83891,2,5932
ltla,Haringey,E09000014,2023-01-19,6,89813,3,83883,3,5930
ltla,Haringey,E09000014,2023-01-18,8,89807,7,83880,1,5927
ltla,Haringey,E09000014,2023-01-17,9,89799,5,83873,4,5926
ltla,Haringey,E09000014,2023-01-16,3,89790,2,83868,1,5922
ltla,Haringey,E09000014,2023-01-15,8,89787,5,83866,3,5921
ltla,Haringey,E09000014,2023-01-14,4,89779,3,83861,1,5918
ltla,Haringey,E09000014,2023-01-13,7,89775,6,83858,1,5917
ltla,Haringey,E09000014,2023-01-12,8,89768,4,83852,4,5916
ltla,Haringey,E09000014,2023-01-11,12,89760,6,83848,6,5912
ltla,Haringey,E09000014,2023-01-10,8,89748,5,83842,3,5906
ltla,Haringey,E09000014,2023-01-09,8,89740,4,83837,4,5903
ltla,Haringey,E09000014,2023-01-08,6,89732,4,83833,2,5899
ltla,Haringey,E09000014,2023-01-07,18,89726,17,83829,1,5897
ltla,Haringey,E09000014,2023-01-06,9,89708,4,83812,5,5896
ltla,Haringey,E09000014,2023-01-05,16,89699,12,83808,4,5891
