areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
ltla,Barnet,E09000003,2023-04-12,0,139107,0,129479,0,9628
ltla,Barnet,E09000003,2023-04-11,7,139107,5,129479,2,9628
ltla,Barnet,E09000003,2023-04-10,9,139100,5,129474,4,9626
ltla,Barnet,E09000003,2023-04-09,8,139091,4,129469,4,9622
ltla,Barnet,E09000003,2023-04-08,11,139083,7,129465,4,9618
ltla,Barnet,E09000003,2023-04-07,7,139072,4,129458,3,9614
ltla,Barnet,E09000003,2023-04-06,7,139065,3,129454,4,9611
ltla,Barnet,E09000003,2023-04-05,12,139058,5,129451,7,9607
ltla,Barnet,E09000003,2023-04-04,12,139046,8,129446,4,9600
ltla,Barnet,E09000003,2023-04-03,7,139034,3,129438,4,9596
ltla,Barnet,E09000003,2023-04-02,10,139027,6,129435,4,9592
ltla,Barnet,E09000003,2023-04-01,11,139017,9,129429,2,9588
ltla,Barnet,E09000003,2023-03-31,10,139006,7,129420,3,9586
ltla,Barnet,E09000003,2023-03-30,16,138996,10,129413,6,9583
ltla,Barnet,E09000003,2023-03-29,15,138980,6,129403,9,9577
ltla,Barnet,E09000003,2023-03-28,18,138965,12,129397,6,9568
ltla,Barnet,E09000003,2023-03-27,20,138947,12,129385,8,9562
ltla,Barnet,E09000003,2023-03-26,16,138927,12,129373,4,9554
ltla,Barnet,E09000003,2023-03-25,15,138911,9,129361,6,9550
ltla,Barnet,E09000003,2023-03-24,14,138896,7,129352,7,9544
ltla,Barnet,E09000003,2023-03-23,15,138882,7,129345,8,9537
ltla,Barnet,E09000003,2023-03-22,43,138867,26,129338,17,9529
ltla,Barnet,E09000003,2023-03-21,19,138824,9,129312,10,9512
ltla,Barnet,E09000003,2023-03-20,20,138805,11,129303,9,9502
ltla,Barnet,E09000003,2023-03-19,26,138785,15,129292,11,9493
ltla,Barnet,E09000003,2023-03-18,14,138759,6,129277,8,9482
ltla,Barnet,E09000003,2023-03-17,21,138745,17,129271,4,9474
ltla,Barnet,E09000003,2023-03-16,19,138724,10,129254,9,9470
ltla,Barnet,E09000003,2023-03-15,25,138705,17,129244,8,9461
ltla,Barnet,E09000003,2023-03-14,26,138680,16,129227,10,9453
ltla,Barnet,E09000003,2023-03-13,23,138654,11,129211,12,9443
ltla,Barnet,E09000003,2023-03-12,29,138631,17,129200,12,9431
ltla,Barnet,E09000003,2023-03-11,13,138602,9,129183,4,9419
ltla,Barnet,E09000003,2023-03-10,21,138589,16,129174,5,9415
ltla,Barnet,E09000003,2023-03-09,32,138568,18,129158,14,9410
ltla,Barnet,E09000003,2023-03-08,21,138536,17,129140,4,9396
ltla,Barnet,E09000003,2023-03-07,17,138515,12,129123,5,9392
ltla,Barnet,E09000003,2023-03-06,37,138498,27,129111,10,9387
ltla,Barnet,E09000003,2023-03-05,26,138461,16,129084,10,9377
ltla,Barnet,E09000003,2023-03-04,19,138435,11,129068,8,9367
ltla,Barnet,E09000003,2023-03-03,16,138416,7,129057,9,9359
ltla,Barnet,E09000003,2023-03-02,17,138400,8,129050,9,9350
ltla,Barnet,E09000003,2023-03-01,19,138383,12,129042,7,9341
ltla,Barnet,E09000003,2023-02-28,18,138364,9,129030,9,9334
ltla,Barnet,E09000003,2023-02-27,21,138346,9,129021,12,9325
ltla,Barnet,E09000003,2023-02-26,13,138325,11,129012,2,9313
ltla,Barnet,E09000003,2023-02-25,15,138312,10,129001,5,9311
ltla,Barnet,E09000003,2023-02-24,29,138297,17,128991,12,9306
ltla,Barnet,E09000003,2023-02-23,23,138268,18,128974,5,9294
ltla,Barnet,E09000003,2023-02-22,25,138245,16,128956,9,9289
ltla,Barnet,E09000003,2023-02-21,24,138220,13,128940,11,9280
ltla,Barnet,E09000003,2023-02-20,19,138196,13,128927,6,9269
ltla,Barnet,E09000003,2023-02-19,20,138177,12,128914,8,9263
ltla,Barnet,E09000003,2023-02-18,21,138157,15,128902,6,9255
ltla,Barnet,E09000003,2023-02-17,21,138136,12,128887,9,9249
ltla,Barnet,E09000003,2023-02-16,23,138115,16,128875,7,9240
ltla,Barnet,E09000003,2023-02-15,38,138092,28,128859,10,9233
ltla,Barnet,E09000003,2023-02-14,30,138054,22,128831,8,9223
ltla,Barnet,E09000003,2023-02-13,41,138024,26,128809,15,9215
ltla,Barnet,E09000003,2023-02-12,17,137983,10,128783,7,9200
ltla,Barnet,E09000003,2023-02-11,25,137966,16,128773,9,9193
ltla,Barnet,E09000003,2023-02-10,21,137941,15,128757,6,9184
ltla,Barnet,E09000003,2023-02-09,24,137920,14,128742,10,9178
ltla,Barnet,E09000003,2023-02-08,15,137896,9,128728,6,9168
ltla,Barnet,E09000003,2023-02-07,21,137881,13,128719,8,9162
ltla,Barnet,E09000003,2023-02-06,22,137860,13,128706,9,9154
ltla,Barnet,E09000003,2023-02-05,16,137838,9,128693,7,9145
ltla,Barnet,E09000003,2023-02-04,24,137822,15,128684,9,9138
ltla,Barnet,E09000003,2023-02-03,19,137798,9,128669,10,9129
ltla,Barnet,E09000003,2023-02-02,21,137779,13,128660,8,9119
ltla,Barnet,E09000003,2023-02-01,24,137758,17,128647,7,9111
ltla,Barnet,E09000003,2023-01-31,19,137734,15,128630,4,9104
ltla,Barnet,E09000003,2023-01-30,24,137715,12,128615,12,9100
ltla,Barnet,E09000003,2023-01-29,7,137691,5,128603,2,9088
ltla,Barnet,E09000003,2023-01-28,12,137684,7,128598,5,9086
ltla,Barnet,E09000003,2023-01-27,8,137672,6,128591,2,9081
ltla,Barnet,E09000003,2023-01-26,25,137664,18,128585,7,9079
ltla,Barnet,E09000003,2023-01-25,12,137639,11,128567,1,9072
ltla,Barnet,E09000003,2023-01-24,12,137627,7,128556,5,9071
ltla,Barnet,E09000003,2023-01-23,25,137615,13,128549,12,9066
