"data","stato","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","totale_casi"
"2020-02-24T18:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,0
"2020-02-24T18:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,0
"2020-02-24T18:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,0
"2020-02-24T18:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,0
"2020-02-24T18:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,0
"2020-02-24T18:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,0
"2020-02-25T18:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,0
"2020-02-25T18:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,0
"2020-02-25T18:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,3
"2020-02-25T18:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,0
"2020-02-25T18:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,0
"2020-02-25T18:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,0
"2020-02-26T18:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,0
"2020-02-26T18:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,0
"2020-02-26T18:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,3
"2020-02-26T18:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,0
"2020-02-26T18:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,0
"2020-02-26T18:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,0
"2020-02-27T18:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,0
"2020-02-27T18:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,0
"2020-02-27T18:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,3
"2020-02-27T18:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,0
"2020-02-27T18:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,0
"2020-02-27T18:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,0
"2020-02-28T18:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,0
"2020-02-28T18:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,0
"2020-02-28T18:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,3
"2020-02-28T18:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,0
"2020-02-28T18:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,0
"2020-02-28T18:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,0
"2020-02-29T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,0
"2020-02-29T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,0
"2020-02-29T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,6
"2020-02-29T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,0
"2020-02-29T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,0
"2020-02-29T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,0
"2020-03-01T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,0
"2020-03-01T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,0
"2020-03-01T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,6
"2020-03-01T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,0
"2020-03-01T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,0
"2020-03-01T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,0
"2020-03-02T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,0
"2020-03-02T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,0
"2020-03-02T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,7
"2020-03-02T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,0
"2020-03-02T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,0
"2020-03-02T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,0
"2020-03-03T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,0
"2020-03-03T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,0
"2020-03-03T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,14
"2020-03-03T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,0
"2020-03-03T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,0
"2020-03-03T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,0
"2020-03-04T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,0
"2020-03-04T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,0
"2020-03-04T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,29
"2020-03-04T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,0
"2020-03-04T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,1
"2020-03-04T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,0
"2020-03-05T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,0
"2020-03-05T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,0
"2020-03-05T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,42
"2020-03-05T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,0
"2020-03-05T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,1
"2020-03-05T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,1
"2020-03-06T18:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,2
"2020-03-06T18:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,0
