"data","stato","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","totale_casi"
"2020-02-24T18:00:00","ITA",3,"Lombardia",12,"Varese","VA",45.81701677,8.822868344,0
"2020-02-24T18:00:00","ITA",3,"Lombardia",13,"Como","CO",45.8099912,9.085159546,0
"2020-02-24T18:00:00","ITA",3,"Lombardia",14,"Sondrio","SO",46.17099261,9.87147489,0
"2020-02-24T18:00:00","ITA",3,"Lombardia",15,"Milano","MI",45.46679409,9.190347404,0
"2020-02-24T18:00:00","ITA",3,"Lombardia",16,"Bergamo","BG",45.69441368,9.668424528,0
"2020-02-24T18:00:00","ITA",3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,0
"2020-02-24T18:00:00","ITA",3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,0
"2020-02-24T18:00:00","ITA",3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,0
"2020-02-24T18:00:00","ITA",3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0
"2020-02-24T18:00:00","ITA",3,"Lombardia",97,"Lecco","LC",45.85575781,9.393392246,0
"2020-02-24T18:00:00","ITA",3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,0
"2020-02-24T18:00:00","ITA",3,"Lombardia",108,"Monza e della Brianza","MB",45.58439043,9.273582472,0
"2020-02-24T18:00:00","ITA",3,"Lombardia",988,"In fase di definizione/aggiornamento","",NA,NA,0
"2020-02-25T18:00:00","ITA",3,"Lombardia",12,"Varese","VA",45.81701677,8.822868344,0
"2020-02-25T18:00:00","ITA",3,"Lombardia",13,"Como","CO",45.8099912,9.085159546,0
"2020-02-25T18:00:00","ITA",3,"Lombardia",14,"Sondrio","SO",46.17099261,9.87147489,1
"2020-02-25T18:00:00","ITA",3,"Lombardia",15,"Milano","MI",45.46679409,9.190347404,8
"2020-02-25T18:00:00","ITA",3,"Lombardia",16,"Bergamo","BG",45.69441368,9.668424528,18
"2020-02-25T18:00:00","ITA",3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,0
"2020-02-25T18:00:00","ITA",3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,27
"2020-02-25T18:00:00","ITA",3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,53
"2020-02-25T18:00:00","ITA",3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0
"2020-02-25T18:00:00","ITA",3,"Lombardia",97,"Lecco","LC",45.85575781,9.393392246,0
"2020-02-25T18:00:00","ITA",3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,125
"2020-02-25T18:00:00","ITA",3,"Lombardia",108,"Monza e della Brianza","MB",45.58439043,9.273582472,3
"2020-02-25T18:00:00","ITA",3,"Lombardia",988,"In fase di definizione/aggiornamento","",NA,NA,5
"2020-02-26T18:00:00","ITA",3,"Lombardia",12,"Varese","VA",45.81701677,8.822868344,0
"2020-02-26T18:00:00","ITA",3,"Lombardia",13,"Como","CO",45.8099912,9.085159546,0
"2020-02-26T18:00:00","ITA",3,"Lombardia",14,"Sondrio","SO",46.17099261,9.87147489,3
"2020-02-26T18:00:00","ITA",3,"Lombardia",15,"Milano","MI",45.46679409,9.190347404,8
"2020-02-26T18:00:00","ITA",3,"Lombardia",16,"Bergamo","BG",45.69441368,9.668424528,20
"2020-02-26T18:00:00","ITA",3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,2
"2020-02-26T18:00:00","ITA",3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,27
"2020-02-26T18:00:00","ITA",3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,57
"2020-02-26T18:00:00","ITA",3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0
"2020-02-26T18:00:00","ITA",3,"Lombardia",97,"Lecco","LC",45.85575781,9.393392246,0
"2020-02-26T18:00:00","ITA",3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,128
"2020-02-26T18:00:00","ITA",3,"Lombardia",108,"Monza e della Brianza","MB",45.58439043,9.273582472,4
"2020-02-26T18:00:00","ITA",3,"Lombardia",988,"In fase di definizione/aggiornamento","",NA,NA,9
"2020-02-27T18:00:00","ITA",3,"Lombardia",12,"Varese","VA",45.81701677,8.822868344,0
"2020-02-27T18:00:00","ITA",3,"Lombardia",13,"Como","CO",45.8099912,9.085159546,0
"2020-02-27T18:00:00","ITA",3,"Lombardia",14,"Sondrio","SO",46.17099261,9.87147489,3
"2020-02-27T18:00:00","ITA",3,"Lombardia",15,"Milano","MI",45.46679409,9.190347404,15
"2020-02-27T18:00:00","ITA",3,"Lombardia",16,"Bergamo","BG",45.69441368,9.668424528,72
"2020-02-27T18:00:00","ITA",3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,10
"2020-02-27T18:00:00","ITA",3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,36
"2020-02-27T18:00:00","ITA",3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,91
"2020-02-27T18:00:00","ITA",3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0
"2020-02-27T18:00:00","ITA",3,"Lombardia",97,"Lecco","LC",45.85575781,9.393392246,0
"2020-02-27T18:00:00","ITA",3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,159
"2020-02-27T18:00:00","ITA",3,"Lombardia",108,"Monza e della Brianza","MB",45.58439043,9.273582472,5
"2020-02-27T18:00:00","ITA",3,"Lombardia",988,"In fase di definizione/aggiornamento","",NA,NA,12
"2020-02-28T18:00:00","ITA",3,"Lombardia",12,"Varese","VA",45.81701677,8.822868344,3
"2020-02-28T18:00:00","ITA",3,"Lombardia",13,"Como","CO",45.8099912,9.085159546,0
"2020-02-28T18:00:00","ITA",3,"Lombardia",14,"Sondrio","SO",46.17099261,9.87147489,3
"2020-02-28T18:00:00","ITA",3,"Lombardia",15,"Milano","MI",45.46679409,9.190347404,29
"2020-02-28T18:00:00","ITA",3,"Lombardia",16,"Bergamo","BG",45.69441368,9.668424528,103
"2020-02-28T18:00:00","ITA",3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,13
"2020-02-28T18:00:00","ITA",3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,49
