area_code,year,quarter,mean_rent_per_month,median_rent_per_month,area_code_21
E02000001,2016,4,2129.651515,1928.0,E02000001
E02000002,2016,4,1249.533333,1175.0,E02000002
E02000003,2016,4,1188.517241,1250.0,E02000003
E02000005,2016,4,1259.058824,1375.0,E02000005
E02000008,2016,4,1229.545455,1375.0,E02000008
E02000009,2016,4,1169.230769,1200.0,E02000009
E02000011,2016,4,1156.181818,1212.5,E02000011
E02000012,2016,4,1530.35,1600.0,E02000012
E02000013,2016,4,1274.769231,1362.5,E02000013
E02000014,2016,4,1185.083333,1300.0,E02000014
E02000015,2016,4,1145.666667,1250.0,E02000015
E02000016,2016,4,1153.861111,1101.0,E02000016
E02000017,2016,4,1508.333333,1550.0,E02000017
E02000018,2016,4,1234.4,1375.0,E02000018
E02000019,2016,4,1278.846154,1300.0,E02000019
E02000020,2016,4,1508.928571,1400.0,E02000020
E02000021,2016,4,1259.0,1324.0,E02000021
E02000024,2016,4,1392.571429,1200.0,E02000024
E02000025,2016,4,1292.434783,1224.0,E02000025
E02000026,2016,4,1815.515152,2050.0,E02000026
E02000027,2016,4,1368.588235,1300.0,E02000027
E02000028,2016,4,1268.5,1248.0,E02000028
E02000029,2016,4,1211.259259,1265.0,E02000029
E02000030,2016,4,1893.714286,1700.0,E02000030
E02000031,2016,4,1751.864865,1499.5,E02000031
E02000032,2016,4,1500.4,1699.5,E02000032
E02000033,2016,4,1337.411765,1242.5,E02000033
E02000034,2016,4,1394.692308,1385.0,E02000034
E02000035,2016,4,1518.239437,1400.0,E02000035
E02000036,2016,4,1382.464286,1375.0,E02000036
E02000037,2016,4,1827.2,1348.0,E02000037
E02000038,2016,4,1459.980769,1375.0,E02000038
E02000039,2016,4,1597.947368,1425.0,E02000039
E02000040,2016,4,1420.461538,1497.5,E02000040
E02000041,2016,4,1357.782609,1337.5,E02000041
E02000042,2016,4,1398.207792,1350.0,E02000042
E02000043,2016,4,2265.694444,2102.0,E02000043
E02000044,2016,4,2153.590909,1798.0,E02000044
E02000045,2016,4,1407.979592,1250.0,E02000045
E02000046,2016,4,1532.25,1452.0,E02000046
E02000047,2016,4,1221.625,1300.0,E02000047
E02000048,2016,4,1425.15,1400.0,E02000048
E02000050,2016,4,1502.298507,1400.0,E02000050
E02000051,2016,4,1503.689655,1400.0,E02000051
E02000052,2016,4,1739.377778,1541.0,E02000052
E02000053,2016,4,1283.5,1300.0,E02006953
E02000054,2016,4,1489.528302,1300.0,E02000054
E02000055,2016,4,1713.69697,1500.0,E02000055
E02000056,2016,4,4299.891304,2253.0,E02000056
E02000057,2016,4,1780.844828,1473.0,E02000057
E02000058,2016,4,1734.0,1517.0,E02000058
E02000059,2016,4,1254.25641,1103.0,E02000059
E02000060,2016,4,1916.071429,1733.0,E02000060
E02000061,2016,4,2122.28169,1625.0,E02000061
E02000062,2016,4,1348.666667,1300.0,E02000062
E02000063,2016,4,1410.272727,1300.0,E02000063
E02000064,2016,4,1670.574468,1371.5,E02000064
E02000065,2016,4,1159.555556,1200.0,E02000065
E02000067,2016,4,964.0909091,995.0,E02000067
E02000068,2016,4,1050.0,1000.0,E02000068
E02000072,2016,4,829.0,875.0,E02000072
E02000077,2016,4,1218.785714,1300.0,E02000077
E02000079,2016,4,1043.875,1125.0,E02000079
E02000084,2016,4,1090.909091,1075.0,E02000084
E02000085,2016,4,943.3333333,975.0,E02000085
E02000088,2016,4,1312.0,1250.0,E02000088
E02000090,2016,4,1239.52381,1175.0,E02000090
E02000091,2016,4,1281.315789,1250.0,E02000091
E02000093,2016,4,1591.72,1650.0,E02000093
E02000094,2016,4,1298.944444,1275.0,E02000094
E02000095,2016,4,1691.066667,1850.0,E02000095
E02000096,2016,4,1188.65,950.0,E02000096
E02000097,2016,4,1451.0,1400.0,E02000097
E02000098,2016,4,1508.578947,1425.0,E02000098
E02000099,2016,4,1274.83871,1337.5,E02000099
E02000100,2016,4,1931.095238,1700.0,E02000100
E02000101,2016,4,1638.666667,1397.5,E02000101
E02000102,2016,4,1329.484848,1190.0,E02000102
E02000103,2016,4,1435.296296,1368.5,E02000103
E02000104,2016,4,1629.227273,1450.0,E02000104
E02000105,2016,4,1570.606061,1449.5,E02000105
E02000106,2016,4,1597.2,1400.0,E02000106
E02000107,2016,4,1474.864407,1300.0,E02000107
E02000108,2016,4,1410.263158,1412.5,E02000108
E02000109,2016,4,1566.423077,1450.0,E02006955
E02000110,2016,4,1732.205128,1620.5,E02000110
E02000111,2016,4,1557.5,1450.0,E02000111
E02000112,2016,4,1550.761905,1500.0,E02000112
E02000113,2016,4,1424.416667,1300.0,E02000113
E02000114,2016,4,1532.875,1495.0,E02000114
E02000115,2016,4,1837.206897,1603.0,E02000115
