OutLA,InLA,Moves
E09000001,E09000002,2.143
E09000001,E09000003,14.4711
E09000001,E09000005,13.8959
E09000001,E09000006,5.9125
E09000001,E09000007,32.0046
E09000001,E09000008,9.1431
E09000001,E09000009,12.348
E09000001,E09000010,7.3362
E09000001,E09000011,18.1187
E09000001,E09000012,38.2394
E09000001,E09000013,11.0096
E09000001,E09000014,9.4946
E09000001,E09000015,4.8449
E09000001,E09000016,2.3745
E09000001,E09000017,3.7144
E09000001,E09000018,4.8414
E09000001,E09000019,83.9739
E09000001,E09000020,26.2302
E09000001,E09000021,6.2443
E09000001,E09000022,35.3354
E09000001,E09000023,20.2332
E09000001,E09000024,5.9313
E09000001,E09000025,27.4446
E09000001,E09000026,18.7931
E09000001,E09000027,4.8484
E09000001,E09000028,60.6243
E09000001,E09000029,4.8927
E09000001,E09000030,83.3572
E09000001,E09000031,9.608
E09000001,E09000032,27.2652
E09000001,E09000033,36.6551
E09000002,E09000003,153.7779
E09000002,E09000004,183.9462
E09000002,E09000005,107.1863
E09000002,E09000006,106.0647
E09000002,E09000007,57.1802
E09000002,E09000008,118.4386
E09000002,E09000009,125.564
E09000002,E09000010,204.6118
E09000002,E09000011,179.9177
E09000002,E09000012,185.0415
E09000002,E09000013,31.3035
E09000002,E09000014,117.0086
E09000002,E09000015,77.5346
E09000002,E09000016,2677.6474
E09000002,E09000017,108.2486
E09000002,E09000018,94.8585
E09000002,E09000019,90.0335
E09000002,E09000020,21.8666
E09000002,E09000021,63.6568
E09000002,E09000022,68.8945
E09000002,E09000023,124.2385
E09000002,E09000024,68.3089
E09000002,E09000025,1255.1898
E09000002,E09000026,1904.6798
E09000002,E09000027,35.097
E09000002,E09000028,118.8768
E09000002,E09000029,50.3018
E09000002,E09000030,323.5896
E09000002,E09000031,416.8249
E09000002,E09000032,74.6121
E09000002,E09000033,65.1963
E09000003,E09000001,20.7125
E09000003,E09000002,123.6177
E09000003,E09000004,96.6423
E09000003,E09000005,2011.8901
E09000003,E09000006,156.2582
E09000003,E09000007,1024.1642
E09000003,E09000008,185.9317
E09000003,E09000009,507.8466
E09000003,E09000010,1595.7059
E09000003,E09000011,217.2324
E09000003,E09000012,377.8766
E09000003,E09000013,251.2295
E09000003,E09000014,1167.7075
E09000003,E09000015,1548.7278
E09000003,E09000016,120.9233
E09000003,E09000017,395.8288
E09000003,E09000018,180.4315
E09000003,E09000019,537.8065
E09000003,E09000020,166.188
E09000003,E09000021,133.2758
E09000003,E09000022,316.0716
E09000003,E09000023,234.2941
E09000003,E09000024,199.6525
E09000003,E09000025,270.4075
E09000003,E09000026,193.6248
E09000003,E09000027,137.2597
E09000003,E09000028,335.2451
E09000003,E09000029,84.2806
E09000003,E09000030,420.2504
E09000003,E09000031,326.3399
E09000003,E09000032,313.7233
E09000003,E09000033,436.0296
E09000004,E09000001,2.4959
E09000004,E09000002,67.5733
E09000004,E09000003,53.4284
E09000004,E09000005,55.172
E09000004,E09000006,669.3636
E09000004,E09000007,48.0573
E09000004,E09000008,137.9647
E09000004,E09000009,51.9304
E09000004,E09000010,51.4614
E09000004,E09000011,1993.376
E09000004,E09000012,71.2836
E09000004,E09000013,41.4139
E09000004,E09000014,52.182
E09000004,E09000015,30.0423
E09000004,E09000016,66.459
E09000004,E09000017,49.5423
E09000004,E09000018,47.1461
E09000004,E09000019,44.3896
E09000004,E09000020,8.5115
E09000004,E09000021,48.7523
E09000004,E09000022,131.9395
E09000004,E09000023,395.2686
E09000004,E09000024,43.0609
E09000004,E09000025,103.7731
E09000004,E09000026,48.4447
E09000004,E09000027,27.2971
E09000004,E09000028,168.1398
E09000004,E09000029,42.2791
E09000004,E09000030,123.5424
E09000004,E09000031,58.4026
E09000004,E09000032,83.6302
E09000004,E09000033,36.434
E09000005,E09000001,7.2273
E09000005,E09000002,147.2081
E09000005,E09000003,2738.19
E09000005,E09000004,80.8802
E09000005,E09000006,125.5837
E09000005,E09000007,1055.1339
E09000005,E09000008,257.7563
E09000005,E09000009,2448.2595
E09000005,E09000010,318.2819
E09000005,E09000011,211.8625
E09000005,E09000012,327.0678
E09000005,E09000013,609.9057
E09000005,E09000014,527.4928
E09000005,E09000015,4051.7117
E09000005,E09000016,111.1777
E09000005,E09000017,1164.8696
E09000005,E09000018,587.8656
E09000005,E09000019,381.4017
E09000005,E09000020,381.0425
E09000005,E09000021,141.0908
E09000005,E09000022,467.7289
E09000005,E09000023,328.5009
E09000005,E09000024,228.6579
E09000005,E09000025,411.7862
E09000005,E09000026,247.1852
E09000005,E09000027,197.8783
E09000005,E09000028,361.5652
E09000005,E09000029,122.5032
E09000005,E09000030,429.9945
E09000005,E09000031,376.0024
E09000005,E09000032,505.503
E09000005,E09000033,858.2043
E09000006,E09000001,10.9819
E09000006,E09000002,50.2527
E09000006,E09000003,95.2515
E09000006,E09000004,812.5658
E09000006,E09000005,85.4788
E09000006,E09000007,101.4054
E09000006,E09000008,1486.0948
E09000006,E09000009,84.4409
E09000006,E09000010,79.5945
E09000006,E09000011,729.3626
E09000006,E09000012,98.1149
E09000006,E09000013,113.0478
E09000006,E09000014,66.3439
E09000006,E09000015,34.0613
E09000006,E09000016,63.1565
E09000006,E09000017,59.2872
E09000006,E09000018,64.3511
E09000006,E09000019,91.8771
E09000006,E09000020,40.2537
E09000006,E09000021,77.059
E09000006,E09000022,482.1915
E09000006,E09000023,1222.9468
E09000006,E09000024,138.2192
E09000006,E09000025,106.7462
E09000006,E09000026,62.3522
E09000006,E09000027,90.3914
E09000006,E09000028,504.8174
E09000006,E09000029,188.5815
E09000006,E09000030,158.6054
E09000006,E09000031,75.6389
E09000006,E09000032,240.2571
E09000006,E09000033,102.1132
E09000007,E09000001,61.2089
E09000007,E09000002,48.0804
E09000007,E09000003,1740.0579
E09000007,E09000004,64.8692
E09000007,E09000005,1403.6667
E09000007,E09000006,171.6103
E09000007,E09000008,134.5522
E09000007,E09000009,432.8201
E09000007,E09000010,337.7814
E09000007,E09000011,325.7439
E09000007,E09000012,935.7501
E09000007,E09000013,535.2064
E09000007,E09000014,1368.5308
E09000007,E09000015,307.3225
E09000007,E09000016,53.5158
E09000007,E09000017,146.3985
E09000007,E09000018,183.4699
E09000007,E09000019,2699.2915
E09000007,E09000020,409.5862
E09000007,E09000021,143.3592
E09000007,E09000022,932.7894
E09000007,E09000023,381.9986
E09000007,E09000024,240.6344
E09000007,E09000025,394.9828
E09000007,E09000026,166.8604
E09000007,E09000027,268.5759
E09000007,E09000028,933.3755
E09000007,E09000029,59.4516
E09000007,E09000030,1003.4021
E09000007,E09000031,387.3552
E09000007,E09000032,747.5028
E09000007,E09000033,1565.4916
E09000008,E09000001,8.8213
E09000008,E09000002,131.185
E09000008,E09000003,129.7868
E09000008,E09000004,210.498
E09000008,E09000005,179.0321
E09000008,E09000006,1821.1012
E09000008,E09000007,121.8065
E09000008,E09000009,185.9752
E09000008,E09000010,121.0206
E09000008,E09000011,355.4876
E09000008,E09000012,142.6685
E09000008,E09000013,112.1078
E09000008,E09000014,154.6627
E09000008,E09000015,123.8929
E09000008,E09000016,97.6253
E09000008,E09000017,191.8177
E09000008,E09000018,152.4648
E09000008,E09000019,124.2412
E09000008,E09000020,63.0988
E09000008,E09000021,295.736
E09000008,E09000022,1592.617
E09000008,E09000023,840.8131
E09000008,E09000024,1032.2052
E09000008,E09000025,181.8677
E09000008,E09000026,127.9891
E09000008,E09000027,129.2094
E09000008,E09000028,637.5028
E09000008,E09000029,1567.1745
E09000008,E09000030,251.6697
E09000008,E09000031,164.7763
E09000008,E09000032,792.8425
E09000008,E09000033,114.4309
E09000009,E09000001,17.5054
E09000009,E09000002,110.3509
E09000009,E09000003,471.9657
E09000009,E09000004,77.8652
E09000009,E09000005,1613.9533
E09000009,E09000006,141.731
E09000009,E09000007,358.8809
E09000009,E09000008,216.0601
E09000009,E09000010,151.7319
E09000009,E09000011,208.9155
E09000009,E09000012,228.015
E09000009,E09000013,1542.5336
E09000009,E09000014,280.2122
E09000009,E09000015,1160.2964
E09000009,E09000016,71.9541
E09000009,E09000017,3784.9884
E09000009,E09000018,3199.235
E09000009,E09000019,258.9859
E09000009,E09000020,478.1572
E09000009,E09000021,252.4366
E09000009,E09000022,441.7995
E09000009,E09000023,239.4283
E09000009,E09000024,231.697
E09000009,E09000025,300.9462
E09000009,E09000026,166.3373
E09000009,E09000027,557.1542
E09000009,E09000028,330.7413
E09000009,E09000029,122.0203
E09000009,E09000030,412.0915
E09000009,E09000031,225.8401
E09000009,E09000032,634.8805
E09000009,E09000033,407.308
E09000010,E09000001,9.4744
E09000010,E09000002,222.8464
E09000010,E09000003,1730.6354
E09000010,E09000004,109.1327
E09000010,E09000005,355.2136
E09000010,E09000006,129.582
E09000010,E09000007,284.0077
E09000010,E09000008,155.7604
E09000010,E09000009,215.3115
E09000010,E09000011,165.8811
E09000010,E09000012,530.5196
E09000010,E09000013,117.2108
E09000010,E09000014,2381.0036
E09000010,E09000015,142.615
E09000010,E09000016,175.4279
E09000010,E09000017,186.0933
E09000010,E09000018,86.4572
E09000010,E09000019,400.6568
E09000010,E09000020,73.4821
E09000010,E09000021,63.3329
E09000010,E09000022,185.6068
E09000010,E09000023,186.6811
E09000010,E09000024,67.811
E09000010,E09000025,449.2087
E09000010,E09000026,357.8051
E09000010,E09000027,52.9979
E09000010,E09000028,198.1528
E09000010,E09000029,58.3997
E09000010,E09000030,282.7681
E09000010,E09000031,709.3188
E09000010,E09000032,172.3376
E09000010,E09000033,157.0977
E09000011,E09000001,7.3101
E09000011,E09000002,182.3945
E09000011,E09000003,202.9535
E09000011,E09000004,3618.6661
E09000011,E09000005,158.6643
E09000011,E09000006,1078.1645
E09000011,E09000007,165.5031
E09000011,E09000008,359.8322
E09000011,E09000009,174.5558
E09000011,E09000010,137.066
E09000011,E09000012,223.0218
E09000011,E09000013,134.6955
E09000011,E09000014,179.8075
E09000011,E09000015,105.0324
E09000011,E09000016,125.572
E09000011,E09000017,120.7414
E09000011,E09000018,120.7351
E09000011,E09000019,165.5084
E09000011,E09000020,86.2313
E09000011,E09000021,110.1399
E09000011,E09000022,456.7824
E09000011,E09000023,2100.8915
E09000011,E09000024,163.9521
E09000011,E09000025,522.7989
E09000011,E09000026,175.9842
E09000011,E09000027,128.0882
E09000011,E09000028,620.2432
E09000011,E09000029,115.5347
E09000011,E09000030,585.1541
E09000011,E09000031,218.3991
