"","Group.1","x"
"1","E09000001, E09000002",2.143
"2","E09000001, E09000003",14.4711
"3","E09000001, E09000005",13.8959
"4","E09000001, E09000006",5.9125
"5","E09000001, E09000007",32.0046
"6","E09000001, E09000008",9.1431
"7","E09000001, E09000009",12.348
"8","E09000001, E09000010",7.3362
"9","E09000001, E09000011",18.1187
"10","E09000001, E09000012",38.2394
"11","E09000001, E09000013",11.0096
"12","E09000001, E09000014",9.4946
"13","E09000001, E09000015",4.8449
"14","E09000001, E09000016",2.3745
"15","E09000001, E09000017",3.7144
"16","E09000001, E09000018",4.8414
"17","E09000001, E09000019",83.9739
"18","E09000001, E09000020",26.2302
"19","E09000001, E09000021",6.2443
"20","E09000001, E09000022",35.3354
"21","E09000001, E09000023",20.2332
"22","E09000001, E09000024",5.9313
"23","E09000001, E09000025",27.4446
"24","E09000001, E09000026",18.7931
"25","E09000001, E09000027",4.8484
"26","E09000001, E09000028",60.6243
"27","E09000001, E09000029",4.8927
"28","E09000001, E09000030",83.3572
"29","E09000001, E09000031",9.608
"30","E09000001, E09000032",27.2652
"31","E09000001, E09000033",36.6551
"32","E09000002, E09000003",153.7779
"33","E09000002, E09000004",183.9462
"34","E09000002, E09000005",107.1863
"35","E09000002, E09000006",106.0647
"36","E09000002, E09000007",57.1802
"37","E09000002, E09000008",118.4386
"38","E09000002, E09000009",125.564
"39","E09000002, E09000010",204.6118
"40","E09000002, E09000011",179.9177
"41","E09000002, E09000012",185.0415
"42","E09000002, E09000013",31.3035
"43","E09000002, E09000014",117.0086
"44","E09000002, E09000015",77.5346
"45","E09000002, E09000016",2677.6474
"46","E09000002, E09000017",108.2486
"47","E09000002, E09000018",94.8585
"48","E09000002, E09000019",90.0335
"49","E09000002, E09000020",21.8666
"50","E09000002, E09000021",63.6568
"51","E09000002, E09000022",68.8945
"52","E09000002, E09000023",124.2385
"53","E09000002, E09000024",68.3089
"54","E09000002, E09000025",1255.1898
"55","E09000002, E09000026",1904.6798
"56","E09000002, E09000027",35.097
"57","E09000002, E09000028",118.8768
"58","E09000002, E09000029",50.3018
"59","E09000002, E09000030",323.5896
"60","E09000002, E09000031",416.8249
"61","E09000002, E09000032",74.6121
"62","E09000002, E09000033",65.1963
"63","E09000003, E09000001",20.7125
"64","E09000003, E09000002",123.6177
"65","E09000003, E09000004",96.6423
"66","E09000003, E09000005",2011.8901
"67","E09000003, E09000006",156.2582
"68","E09000003, E09000007",1024.1642
"69","E09000003, E09000008",185.9317
"70","E09000003, E09000009",507.8466
"71","E09000003, E09000010",1595.7059
"72","E09000003, E09000011",217.2324
"73","E09000003, E09000012",377.8766
"74","E09000003, E09000013",251.2295
"75","E09000003, E09000014",1167.7075
"76","E09000003, E09000015",1548.7278
"77","E09000003, E09000016",120.9233
"78","E09000003, E09000017",395.8288
"79","E09000003, E09000018",180.4315
"80","E09000003, E09000019",537.8065
"81","E09000003, E09000020",166.188
"82","E09000003, E09000021",133.2758
"83","E09000003, E09000022",316.0716
"84","E09000003, E09000023",234.2941
"85","E09000003, E09000024",199.6525
"86","E09000003, E09000025",270.4075
"87","E09000003, E09000026",193.6248
"88","E09000003, E09000027",137.2597
"89","E09000003, E09000028",335.2451
"90","E09000003, E09000029",84.2806
"91","E09000003, E09000030",420.2504
"92","E09000003, E09000031",326.3399
"93","E09000003, E09000032",313.7233
"94","E09000003, E09000033",436.0296
"95","E09000004, E09000001",2.4959
"96","E09000004, E09000002",67.5733
"97","E09000004, E09000003",53.4284
"98","E09000004, E09000005",55.172
"99","E09000004, E09000006",669.3636
"100","E09000004, E09000007",48.0573
"101","E09000004, E09000008",137.9647
"102","E09000004, E09000009",51.9304
"103","E09000004, E09000010",51.4614
"104","E09000004, E09000011",1993.376
"105","E09000004, E09000012",71.2836
"106","E09000004, E09000013",41.4139
"107","E09000004, E09000014",52.182
"108","E09000004, E09000015",30.0423
"109","E09000004, E09000016",66.459
"110","E09000004, E09000017",49.5423
"111","E09000004, E09000018",47.1461
"112","E09000004, E09000019",44.3896
"113","E09000004, E09000020",8.5115
"114","E09000004, E09000021",48.7523
"115","E09000004, E09000022",131.9395
"116","E09000004, E09000023",395.2686
"117","E09000004, E09000024",43.0609
"118","E09000004, E09000025",103.7731
"119","E09000004, E09000026",48.4447
"120","E09000004, E09000027",27.2971
