OutLA,InLA,Age,Sex,Moves
E09000001,E09000002,33,F,1.1442
E09000001,E09000002,49,F,0.9988
E09000001,E09000003,2,F,1.2045
E09000001,E09000003,21,M,1.1446
E09000001,E09000003,24,F,1.2351
E09000001,E09000003,24,M,1.1831
E09000001,E09000003,25,F,1.1978
E09000001,E09000003,28,F,1.1984
E09000001,E09000003,30,F,1.213
E09000001,E09000003,30,M,1.2029
E09000001,E09000003,32,F,1.1871
E09000001,E09000003,35,F,1.1964
E09000001,E09000003,36,F,1.2502
E09000001,E09000003,42,F,1.258
E09000001,E09000005,5,F,0.9961
E09000001,E09000005,5,M,0.9971
E09000001,E09000005,13,F,1.3333
E09000001,E09000005,21,M,1.1469
E09000001,E09000005,24,M,1.1828
E09000001,E09000005,30,F,1.2147
E09000001,E09000005,32,F,1.1899
E09000001,E09000005,37,F,1.1739
E09000001,E09000005,41,F,1.204
E09000001,E09000005,51,F,0.9972
E09000001,E09000005,53,M,1.2615
E09000001,E09000005,58,M,1.1985
E09000001,E09000006,28,F,1.1903
E09000001,E09000006,29,M,1.2141
E09000001,E09000006,32,F,1.1822
E09000001,E09000006,37,F,2.3259
E09000001,E09000007,21,F,2.2895
E09000001,E09000007,22,M,1.3021
E09000001,E09000007,23,M,2.4403
E09000001,E09000007,24,F,1.2234
E09000001,E09000007,24,M,1.1691
E09000001,E09000007,26,M,1.1828
E09000001,E09000007,27,M,1.2216
E09000001,E09000007,28,F,2.3701
E09000001,E09000007,29,M,1.2093
E09000001,E09000007,30,F,2.4019
E09000001,E09000007,30,M,1.1911
E09000001,E09000007,33,M,1.1919
E09000001,E09000007,35,F,1.1829
E09000001,E09000007,35,M,1.163
E09000001,E09000007,37,M,1.1619
E09000001,E09000007,43,M,1.2489
E09000001,E09000007,44,M,1.3194
E09000001,E09000007,49,M,1.1532
E09000001,E09000007,52,M,1.3231
E09000001,E09000007,67,F,1.2591
E09000001,E09000007,73,M,3
E09000001,E09000008,0,F,0.9226
E09000001,E09000008,1,F,1.1992
E09000001,E09000008,24,M,1.1799
E09000001,E09000008,28,F,1.1962
E09000001,E09000008,30,F,1.2129
E09000001,E09000008,30,M,1.2002
E09000001,E09000008,34,M,1.236
E09000001,E09000008,54,M,0.9961
E09000001,E09000009,22,M,1.3204
E09000001,E09000009,27,F,1.2266
E09000001,E09000009,30,F,1.2179
E09000001,E09000009,35,F,1.198
E09000001,E09000009,36,F,1.2563
E09000001,E09000009,36,M,1.237
E09000001,E09000009,39,M,1.1585
E09000001,E09000009,41,F,1.2096
E09000001,E09000009,53,M,1.2626
E09000001,E09000009,56,M,1.2611
E09000001,E09000010,12,M,1.3483
E09000001,E09000010,27,F,1.2241
E09000001,E09000010,31,M,1.2211
E09000001,E09000010,35,F,1.197
E09000001,E09000010,35,M,1.1756
E09000001,E09000010,37,F,1.1701
E09000001,E09000011,26,F,2.3745
E09000001,E09000011,29,F,2.3853
E09000001,E09000011,31,M,1.2133
E09000001,E09000011,33,M,2.3991
E09000001,E09000011,34,M,1.2316
E09000001,E09000011,39,M,1.1501
E09000001,E09000011,40,M,1.2003
E09000001,E09000011,41,F,1.1983
E09000001,E09000011,46,M,1.0056
E09000001,E09000011,68,F,3
E09000001,E09000011,79,F,0.9606
E09000001,E09000012,2,M,1.3419
E09000001,E09000012,22,F,1.215
E09000001,E09000012,26,F,3.5862
E09000001,E09000012,27,M,1.2357
E09000001,E09000012,28,F,2.3965
E09000001,E09000012,28,M,1.1833
E09000001,E09000012,29,F,2.3975
E09000001,E09000012,29,M,1.2231
E09000001,E09000012,30,F,1.2136
E09000001,E09000012,30,M,1.202
E09000001,E09000012,31,F,2.4022
E09000001,E09000012,32,M,2.4171
E09000001,E09000012,34,F,3.6158
E09000001,E09000012,34,M,1.237
E09000001,E09000012,35,F,1.1935
E09000001,E09000012,36,F,1.2495
E09000001,E09000012,38,F,1.2534
E09000001,E09000012,40,M,1.2056
E09000001,E09000012,42,M,2.3397
E09000001,E09000012,43,F,1.3308
E09000001,E09000012,85,M,3
E09000001,E09000013,13,F,1.3528
E09000001,E09000013,28,F,1.2025
E09000001,E09000013,30,F,1.2158
E09000001,E09000013,31,M,1.2264
E09000001,E09000013,39,F,1.2149
E09000001,E09000013,48,M,1.2186
E09000001,E09000013,51,F,1.0028
E09000001,E09000013,56,M,1.2473
E09000001,E09000013,63,M,1.3285
E09000001,E09000014,28,M,1.1846
E09000001,E09000014,29,F,1.1989
E09000001,E09000014,29,M,1.2221
E09000001,E09000014,31,M,1.2209
E09000001,E09000014,37,F,2.3445
E09000001,E09000014,37,M,1.1702
E09000001,E09000014,39,M,1.1534
E09000001,E09000015,27,M,1.2391
E09000001,E09000015,28,F,1.1979
E09000001,E09000015,29,F,1.201
E09000001,E09000015,30,M,1.2069
E09000001,E09000016,26,F,1.1851
E09000001,E09000016,55,M,1.1894
E09000001,E09000017,22,M,1.3087
E09000001,E09000017,25,F,1.1907
E09000001,E09000017,25,M,1.215
E09000001,E09000018,21,M,1.1537
E09000001,E09000018,25,M,1.2266
E09000001,E09000018,29,F,1.2038
E09000001,E09000018,38,F,1.2573
E09000001,E09000019,0,M,1.0182
E09000001,E09000019,1,M,2.3414
E09000001,E09000019,2,M,1.3359
E09000001,E09000019,9,F,3
E09000001,E09000019,17,M,0.9973
E09000001,E09000019,21,M,1.1319
E09000001,E09000019,22,F,1.202
E09000001,E09000019,23,F,1.2035
E09000001,E09000019,24,M,2.3383
E09000001,E09000019,26,F,1.1832
E09000001,E09000019,26,M,2.3659
E09000001,E09000019,27,F,1.209
E09000001,E09000019,27,M,2.446
E09000001,E09000019,28,F,3.5587
E09000001,E09000019,28,M,2.3461
E09000001,E09000019,29,F,3.5643
E09000001,E09000019,29,M,1.211
E09000001,E09000019,30,F,1.2
E09000001,E09000019,30,M,1.1916
E09000001,E09000019,31,F,7.1189
E09000001,E09000019,32,M,3.5793
E09000001,E09000019,33,F,2.2828
E09000001,E09000019,34,M,1.2276
E09000001,E09000019,35,F,4.7309
E09000001,E09000019,35,M,1.1628
E09000001,E09000019,36,F,1.2399
E09000001,E09000019,36,M,1.2183
E09000001,E09000019,37,F,2.3121
E09000001,E09000019,37,M,1.1618
E09000001,E09000019,39,M,2.286
E09000001,E09000019,40,F,1.1396
E09000001,E09000019,40,M,2.3831
E09000001,E09000019,41,F,1.189
E09000001,E09000019,43,M,1.2484
E09000001,E09000019,45,F,1.3297
E09000001,E09000019,46,M,0.9944
E09000001,E09000019,47,M,1.1926
E09000001,E09000019,48,M,1.2043
E09000001,E09000019,49,M,1.1523
E09000001,E09000019,50,F,0.9922
E09000001,E09000019,53,M,2.4669
E09000001,E09000019,55,F,1.3208
E09000001,E09000019,57,M,1.0033
E09000001,E09000019,58,M,1.1753
E09000001,E09000019,59,M,1.0115
E09000001,E09000019,64,F,1.0058
E09000001,E09000020,0,F,0.983
E09000001,E09000020,0,M,0.8463
E09000001,E09000020,1,F,1.1963
E09000001,E09000020,1,M,1.1955
E09000001,E09000020,2,F,1.1986
E09000001,E09000020,5,F,1.0039
E09000001,E09000020,21,F,1.1556
E09000001,E09000020,22,M,1.315
E09000001,E09000020,24,M,1.1796
E09000001,E09000020,25,F,1.1963
E09000001,E09000020,28,F,1.1973
E09000001,E09000020,30,M,2.3992
E09000001,E09000020,32,M,1.2151
E09000001,E09000020,34,F,1.2058
E09000001,E09000020,35,F,1.1931
E09000001,E09000020,37,F,1.1653
E09000001,E09000020,39,M,1.1532
E09000001,E09000020,47,F,1.2192
E09000001,E09000020,47,M,1.2119
E09000001,E09000020,74,F,3
E09000001,E09000021,28,F,1.1841
E09000001,E09000021,38,F,1.2413
E09000001,E09000021,45,M,1.2495
E09000001,E09000021,55,F,1.3359
E09000001,E09000021,58,F,1.2335
E09000001,E09000022,0,F,0.6357
