Code,Name,Geography,Area (sq km),Estimated population mid-2020,2020 people per sq. km,Estimated Population mid-2019,2019 people per sq. km,Estimated Population mid-2018,2018 people per sq. km,Estimated Population mid-2017,2017 people per sq. km,Estimated Population mid-2016,2016 people per sq. km,Estimated Population mid-2015,2015 people per sq. km,Estimated Population mid-2014,2014 people per sq. km,Estimated Population mid-2013,2013 people per sq. km,Estimated Population mid-2012,2012 people per sq. km,Estimated Population mid-2011,2011 people per sq. km,Estimated Population mid-2010,2010 people per sq. km,Estimated Population mid-2009,2009 people per sq. km,Estimated Population mid-2008,2008 people per sq. km,Estimated Population mid-2007,2007 people per sq. km,Estimated Population mid-2006,2006 people per sq. km,Estimated Population mid-2005,2005 people per sq. km,Estimated Population mid-2004,2004 people per sq. km,Estimated Population mid-2003,2003 people per sq. km,Estimated Population mid-2002,2002 people per sq. km,Estimated Population mid-2001,2001 people per sq. km
K02000001,UNITED KINGDOM,Country,242741.4293,67081234,276.34851699375736,66796807,275.1767887032047,66435550,273.6885507825425,66040229,272.059982469585,65648054,270.44437444943395,65110034,268.2279419205842,64596752,266.1134203019213,64105654,264.09028810971085,63705030,262.4398735053506,63285145,260.71011109433226,62759456,258.544477475399,62260486,256.4889157139028,61823772,254.6898243875505,61319075,252.6106696200458,60827067,250.5837885828087,60413276,248.87913107463936,59950364,246.9721142076179,59636662,245.679784336674,59365677,244.56343184265828,59113016,243.5225670808061
K03000001,GREAT BRITAIN,Country,228948.4787,65185724,284.71787351518225,64903140,283.4836045582337,64553909,281.9582351738946,64169395,280.27875688173333,63785917,278.60380362509915,63258413,276.29977433870584,62756254,274.1064468143155,62275929,272.0084857239979,61881396,270.2852464946298,61470827,268.4919653060791,60954623,266.23729210217283,60467153,264.10812311722077,60044620,262.2625856303626,59557392,260.1344736517788,59083954,258.06659356500893,58685543,256.3264160269784,58236322,254.36431082955258,57931738,253.0339503845762,57668143,251.88262148518044,57424178,250.81703239987502
K04000001,ENGLAND AND WALES,Country,151047.01059999998,59719724,395.37177043608443,59439840,393.51881089131604,59115809,391.3735781011214,58744595,388.91597236284537,58381217,386.51024451324037,57885413,383.2277962341878,57408654,380.07143452860896,56948229,377.02321134186025,56567796,374.50457162506734,56170927,371.8771181029915,55692423,368.70920370270477,55235253,365.68253009834814,54841720,363.07716241555335,54387392,360.0693041455003,53950854,357.17922377736886,53575343,354.69316994215313,53152022,351.89059213330773,52863238,349.97871053530145,52602143,348.25014272741925,52359978,346.64690014063746
E92000001,ENGLAND,Country,130310.49279999999,56550138,433.9645778701253,56286961,431.94496306900623,55977178,429.5676947973295,55619430,426.82234411748004,55268067,424.1259917942694,54786327,420.4291290961951,54316618,416.82459204083375,53865817,413.365154582548,53493729,410.50975904221275,53107169,407.5433056761489,52642452,403.9770771245215,52196381,400.55393758744196,51815853,397.63377366338995,51381093,394.2974345040617,50965186,391.1057728729578,50606034,388.34964792643314,50194600,385.19231200390334,49925517,383.1273746821407,49679267,381.23765732547366,49449746,379.4763179653941
E12000001,NORTH EAST,Region,8580.774,2680763,312.41505719647205,2669941,311.1538656069954,2657909,309.75166109723904,2644727,308.2154360434152,2636589,307.2670367498317,2624579,305.8673961113532,2618736,305.18645520788687,2610563,304.23397702817954,2602387,303.2811492296616,2596441,302.588204747031,2586868,301.47257112237196,2575441,300.1408730727555,2569312,299.4266018426776,2562045,298.57970854377476,2552568,297.47526272105523,2547127,296.8411707382108,2540502,296.06909586477866,2540461,296.0643177410336,2540600,296.08051674592525,2540090,296.02108154812146
E06000047,County Durham,Unitary Authority,2225.8858999999998,533149,239.52216059232867,530094,238.1496733502827,526980,236.7506798079812,523662,235.26003736310116,521776,234.41273427357623,519347,233.32148336983494,517573,232.5244973248629,515923,231.78321943636018,514261,231.03655043594105,512994,230.46733886943625,510628,229.40439130325595,507311,227.91419811770228,505617,227.1531528188395,502960,225.9594707886869,499348,224.33674610185548,497218,223.3798237366974,495147,222.4494076717949,493931,221.90310833093469,493538,221.72654941567313,493678,221.78944572136427
E06000005,Darlington,Unitary Authority,197.47580000000002,107402,543.8742367419197,106803,540.8409536763492,106566,539.6408066203554,106347,538.5318099736777,106327,538.4305317411045,105998,536.7645048152735,105877,536.151771508205,105726,535.3871208522766,105503,534.2578685590842,105584,534.668045401006,105028,531.8525105354681,104355,528.4444980093763,103694,525.0972524228284,102632,519.7193782731858,101509,514.0326055141946,100287,507.8445055039655,99343,503.06417292650536,98911,500.8765631029219,98474,498.66363372119514,97894,495.72656497656925
E06000001,Hartlepool,Unitary Authority,93.7125,93836,1001.3178604775243,93663,999.4717887154861,93242,994.9793250633586,93019,992.5997065492863,92845,990.7429638522075,92498,987.0401493930905,92606,988.1926103774842,92662,988.7901827397625,92261,984.5111377884487,92088,982.6650660264105,91773,979.3037214885953,91530,976.7106842737094,91379,975.0993730825663,90969,970.7242897158862,90781,968.7181539282379,90457,965.2607709750566,90317,963.766840069361,90134,961.814058956916,89993,960.3094571161797,90152,962.0061357876483
E06000002,Middlesbrough,Unitary Authority,53.8816,141285,2622.138169616344,140980,2616.4776101674784,140545,2608.4043532486044,140639,2610.1489191115334,140326,2604.3398859722056,139310,2585.4837272835252,138991,2579.5633388763513,138911,2578.0786019717307,138726,2574.645147879796,138368,2568.000950231619,137667,2554.990943104882,137273,2547.678613849626,137885,2559.0368511699726,138190,2564.6974106188386,138169,2564.3076671813756,138517,2570.7662727164748,138451,2569.541364770163,139050,2580.658332343509,140090,2599.9599121035753,141233,2621.1730906283406
E06000057,Northumberland,Unitary Authority,5019.8289,323820,64.50817477065802,322434,64.23206974245676,320274,63.801776192013236,319030,63.55395898055409,317444,63.23801195694139,316453,63.040594869677726,316832,63.1160954509824,316389,63.02784543114606,316489,63.04776642885178,316278,63.005733123692714,315463,62.84337699239111,314489,62.64934647473741,314057,62.563287764648706,312960,62.34475441981697,311375,62.02900660618133,310752,61.904898790474704,310140,61.78298228451571,309448,61.64512898039214,308499,61.45607871216487,307363,61.2297761782279
